iso_a3,count
AND,7
ARE,113
AFG,1
ATG,104
ALB,121
ARM,122
AGO,38
ARG,386
AUT,197
AUS,4382
AZE,116
BIH,26
BGD,22
BEL,2885
BFA,4121
BGR,216
BDI,16
BEN,20042
BOL,638
BRA,15801
BHS,7
BTN,17
BWA,39
BLR,330
BLZ,297
CAN,810
COD,4667
CAF,8021
COG,34
CHE,80
CIV,57899
CHL,15
CMR,8642
CHN,1706
COL,4825
CRI,458
CUB,50
CPV,3
CYP,11
CZE,86
DEU,565
DJI,29
DNK,152
DMA,87
DOM,183
DZA,131
ECU,550
EST,113
EGY,635
ERI,3
ESP,747
ETH,3597
FIN,393
FRA,1615
GAB,503
GBR,3780
GRD,31
GEO,105
GUF,4330
GHA,2323
GMB,187
GIN,88
GNQ,191
GRC,731
GTM,133
GNB,118
GUY,82
HKG,22
HND,256
HRV,294
HTI,23
HUN,282
IDN,1250
IRL,329
ISR,386
IND,4125
IRQ,21
IRN,420
ISL,432
ITA,3511
JAM,107
JOR,29
JPN,1234
KEN,5053
KGZ,4
KHM,242
COM,74
KNA,41
KOR,710
KWT,6
KAZ,18
LAO,160
LBN,6
LCA,24
LKA,287
LBR,33
LTU,90
LUX,44
LVA,51
LBY,25
MAR,437
MDA,106
MNE,178
MDG,590
MKD,73
MLI,1338
MMR,472
MNG,1
MRT,20
MLT,20
MUS,51
MWI,402
MEX,8486
MYS,780
MOZ,13626
NAM,18
NCL,3
NER,751
NGA,613
NIC,88
NLD,1822
NOR,111
NPL,90
NZL,1
OMN,1
PAN,2226
PER,228
PNG,1676
PHL,717
PAK,384
POL,656
PRI,608
PSE,46
PRT,252
PRY,772
QAT,6
ROU,562
SRB,224
RUS,862
RWA,252
SAU,68
SLB,701
SDN,537
SWE,1039
SGP,73
SVN,102
SVK,94
SLE,16
SEN,358
SOM,25
SUR,31
STP,140
SLV,24
SYR,10
SWZ,30
TCD,7
TGO,135
THA,20511
TJK,19
TUN,178
TUR,781
TTO,582
TWN,80
TZA,8890
UKR,347
UGA,132490
USA,183342
URY,2
UZB,24
VEN,556
VNM,737
VUT,176
XKX,65
YEM,19
MYT,16
ZAF,1235
ZMB,303
ZWE,303
