iso_a3,location_name,year,incidence,incidence_upper,incidence_lower
AFG,Afghanistan,2000,1203.688633,1467.786069,964.89431
AFG,Afghanistan,2005,1386.494851,1710.060563,1107.583591
AFG,Afghanistan,2010,1541.558534,1855.53909,1218.134182
AFG,Afghanistan,2015,1762.724804,2193.4768,1402.85516
AFG,Afghanistan,2020,2003.181181,2432.147087,1593.759976
AFG,Afghanistan,2021,2051.829293,2497.27243,1648.887406
ALB,Albania,2000,0.441204148,0.548693684,0.348368773
ALB,Albania,2005,0.340206013,0.424827235,0.268482543
ALB,Albania,2010,0.313348577,0.394984489,0.24730598
ALB,Albania,2015,0.290066661,0.364831728,0.228468479
ALB,Albania,2020,0.269507263,0.344157792,0.214383078
ALB,Albania,2021,0.266853253,0.339483424,0.211595021
DZA,Algeria,2000,162.859536,187.7255003,138.895434
DZA,Algeria,2005,178.5399765,209.1504517,150.5736665
DZA,Algeria,2010,201.1411361,235.0643627,169.1629955
DZA,Algeria,2015,209.1822472,241.847186,178.0364366
DZA,Algeria,2020,200.7275803,234.9515082,171.0304684
DZA,Algeria,2021,198.6380152,233.2422111,171.5159635
ASM,American Samoa,2000,0.000789269,0.001763506,0.000257052
ASM,American Samoa,2005,0.000692495,0.001540897,0.00022482
ASM,American Samoa,2010,0.000585616,0.001296573,0.000189185
ASM,American Samoa,2015,0.000514822,0.001148527,0.000162548
ASM,American Samoa,2020,0.000503356,0.001106664,0.000155037
ASM,American Samoa,2021,0.000486948,0.001096532,0.000155687
AND,Andorra,2000,0.139669291,0.176415296,0.108827496
AND,Andorra,2005,0.162623132,0.206896004,0.125371253
AND,Andorra,2010,0.157201177,0.200127935,0.122741488
AND,Andorra,2015,0.125156566,0.157820775,0.096098139
AND,Andorra,2020,0.118610729,0.151203758,0.093017497
AND,Andorra,2021,0.117055983,0.149221803,0.091798268
AGO,Angola,2000,8932.359081,10685.57901,7440.893998
AGO,Angola,2005,10294.71979,12569.02311,8643.587734
AGO,Angola,2010,11615.32037,13987.97736,9703.851359
AGO,Angola,2015,12503.62537,14966.03818,10595.57783
AGO,Angola,2020,13510.77628,16142.20048,11200.18967
AGO,Angola,2021,13686.45416,16298.52571,11462.81215
ATG,Antigua and Barbuda,2000,2.337608217,3.034319626,1.746895688
ATG,Antigua and Barbuda,2005,2.114877049,2.756220463,1.545291215
ATG,Antigua and Barbuda,2010,1.883405775,2.398119601,1.363278858
ATG,Antigua and Barbuda,2015,1.724493624,2.294368878,1.313495245
ATG,Antigua and Barbuda,2020,1.7691344,2.293878248,1.33868701
ATG,Antigua and Barbuda,2021,1.732131607,2.330261152,1.289221038
ARG,Argentina,2000,2.546461393,3.555734987,1.819091399
ARG,Argentina,2005,2.625432385,3.79603228,1.834406493
ARG,Argentina,2010,2.826304239,4.191714066,1.971396765
ARG,Argentina,2015,2.779266556,3.959594005,1.993687167
ARG,Argentina,2020,2.57023401,3.597497685,1.807501592
ARG,Argentina,2021,2.51490319,3.55588159,1.772682772
ARM,Armenia,2000,0.031899364,0.064924624,0.011388872
ARM,Armenia,2005,0.032160757,0.065420319,0.011596617
ARM,Armenia,2010,0.035121058,0.070705523,0.012904266
ARM,Armenia,2015,0.033662361,0.067935472,0.012136467
ARM,Armenia,2020,0.026439764,0.054388795,0.009513889
ARM,Armenia,2021,0.02542258,0.052201473,0.009131381
AUS,Australia,2000,4.079353975,5.204339027,3.19419533
AUS,Australia,2005,4.329872762,5.670122485,3.444570602
AUS,Australia,2010,4.954018346,6.188753029,3.800621245
AUS,Australia,2015,5.118697512,6.562489618,3.958322459
AUS,Australia,2020,5.225223933,6.748284328,4.042723811
AUS,Australia,2021,5.281279461,6.827877658,4.176468032
AUT,Austria,2000,12.53621568,13.89807193,11.27504929
AUT,Austria,2005,12.59232413,13.79813499,11.29124103
AUT,Austria,2010,13.81312869,15.51543955,12.39403875
AUT,Austria,2015,17.1296725,19.08550964,15.01460173
AUT,Austria,2020,20.32106398,23.09922652,17.90715608
AUT,Austria,2021,20.56575784,23.37736616,18.12273236
AZE,Azerbaijan,2000,0.115209638,0.223369758,0.047494973
AZE,Azerbaijan,2005,0.125788914,0.244534241,0.0510349
AZE,Azerbaijan,2010,0.147170294,0.285511002,0.060772967
AZE,Azerbaijan,2015,0.138860982,0.270824738,0.057434011
AZE,Azerbaijan,2020,0.113671699,0.222194524,0.04729739
AZE,Azerbaijan,2021,0.108813601,0.21380397,0.045424657
BHS,Bahamas,2000,14.97688664,19.98283022,11.2013044
BHS,Bahamas,2005,15.88598133,21.10855109,11.76613206
BHS,Bahamas,2010,14.75237028,19.72366792,11.17858107
BHS,Bahamas,2015,13.20101855,17.44376909,9.693026432
BHS,Bahamas,2020,14.09634926,18.52739564,10.75336657
BHS,Bahamas,2021,13.80538167,17.84825394,10.65801539
BHR,Bahrain,2000,165.970724,197.9045509,136.823503
BHR,Bahrain,2005,185.6781833,217.7680448,155.5926704
BHR,Bahrain,2010,172.3015025,213.6884936,137.4518383
BHR,Bahrain,2015,156.2200055,191.4118903,126.8593446
BHR,Bahrain,2020,130.5534068,160.9991312,104.7433886
BHR,Bahrain,2021,125.6324535,156.2936266,101.1780941
BGD,Bangladesh,2000,59.1204709,77.17952388,44.12032133
BGD,Bangladesh,2005,55.93290003,74.10283761,40.81942483
BGD,Bangladesh,2010,50.17016459,67.60743039,36.03567131
BGD,Bangladesh,2015,47.95295911,64.5494823,36.29260787
BGD,Bangladesh,2020,44.28218332,59.22791413,31.90899282
BGD,Bangladesh,2021,44.09316222,58.06211024,32.39877284
BRB,Barbados,2000,6.595447431,8.491538838,4.842152867
BRB,Barbados,2005,6.011504532,8.005402975,4.466834559
BRB,Barbados,2010,5.634720075,7.268009665,4.28603949
BRB,Barbados,2015,5.138236243,6.820336317,3.807372673
BRB,Barbados,2020,5.53375867,6.989555573,4.279024876
BRB,Barbados,2021,5.452864397,7.074037923,3.867516831
BLR,Belarus,2000,0.112809603,0.183237181,0.063602481
BLR,Belarus,2005,0.114773332,0.18806882,0.061576682
BLR,Belarus,2010,0.134513102,0.218002929,0.072350325
BLR,Belarus,2015,0.144094574,0.236613794,0.077404362
BLR,Belarus,2020,0.119493443,0.197505136,0.064902822
BLR,Belarus,2021,0.115775543,0.191360304,0.062883008
BEL,Belgium,2000,15.37926001,19.31970094,11.9575408
BEL,Belgium,2005,16.04781742,20.10796361,12.58843522
BEL,Belgium,2010,17.05552327,21.08915938,13.51698344
BEL,Belgium,2015,15.36835316,18.66336137,11.73545102
BEL,Belgium,2020,15.40920449,19.36129544,11.73651487
BEL,Belgium,2021,15.3451987,19.45036939,11.6083491
BLZ,Belize,2000,16.43661302,20.68152432,12.56386565
BLZ,Belize,2005,17.97226447,22.2247783,13.94373546
BLZ,Belize,2010,18.42842354,23.19441319,13.84486743
BLZ,Belize,2015,19.06650065,23.57787057,14.75643506
BLZ,Belize,2020,23.16515981,29.23940156,17.32681336
BLZ,Belize,2021,23.28636131,29.30401525,17.37547454
BEN,Benin,2000,10580.80171,12253.46825,8773.040975
BEN,Benin,2005,12412.88887,14172.11701,10469.55339
BEN,Benin,2010,14371.31888,16743.83032,12445.70532
BEN,Benin,2015,12221.04215,14610.30842,10186.16902
BEN,Benin,2020,13178.897,15826.51546,10835.67306
BEN,Benin,2021,13441.53378,16145.78265,11051.16
BTN,Bhutan,2000,0.312565041,0.420375663,0.22759535
BTN,Bhutan,2005,0.283075184,0.37380078,0.208256942
BTN,Bhutan,2010,0.273345657,0.369700338,0.201268554
BTN,Bhutan,2015,0.255999741,0.339355873,0.188746788
BTN,Bhutan,2020,0.217379982,0.297560853,0.157803824
BTN,Bhutan,2021,0.211724145,0.292403299,0.157861812
BOL,Bolivia (Plurinational State of),2000,30.46654144,39.09312764,22.33769565
BOL,Bolivia (Plurinational State of),2005,31.27206092,41.79073584,22.97196931
BOL,Bolivia (Plurinational State of),2010,34.56558823,46.08143117,25.42785137
BOL,Bolivia (Plurinational State of),2015,37.73832262,49.42597269,27.37467736
BOL,Bolivia (Plurinational State of),2020,37.81346126,50.85941699,27.70157339
BOL,Bolivia (Plurinational State of),2021,37.87388985,50.96688415,27.75022584
BIH,Bosnia and Herzegovina,2000,0.074864289,0.108169816,0.052043943
BIH,Bosnia and Herzegovina,2005,0.068232541,0.099046835,0.046956954
BIH,Bosnia and Herzegovina,2010,0.061537551,0.088096802,0.041759434
BIH,Bosnia and Herzegovina,2015,0.054117851,0.078127061,0.037198244
BIH,Bosnia and Herzegovina,2020,0.046013079,0.066832648,0.031661636
BIH,Bosnia and Herzegovina,2021,0.044682947,0.064934175,0.030796216
BWA,Botswana,2000,19.60662446,23.21320842,16.30599672
BWA,Botswana,2005,20.28917587,24.40275861,16.88764971
BWA,Botswana,2010,21.14644238,25.01807549,17.85952823
BWA,Botswana,2015,21.32308381,25.13509438,18.01258819
BWA,Botswana,2020,20.87625909,24.99160741,17.41783281
BWA,Botswana,2021,20.78345656,24.96774036,17.33955994
BRA,Brazil,2000,707.1664303,786.2908849,623.9621747
BRA,Brazil,2005,712.8779248,793.4084671,630.8377043
BRA,Brazil,2010,718.2681689,802.9404648,627.582638
BRA,Brazil,2015,756.7642378,854.7831787,654.8183601
BRA,Brazil,2020,788.1813652,907.1137055,670.9584134
BRA,Brazil,2021,771.1963867,878.4575134,650.8260557
BRN,Brunei Darussalam,2000,0.038676561,0.050916439,0.027005076
BRN,Brunei Darussalam,2005,0.035699812,0.04693324,0.026604495
BRN,Brunei Darussalam,2010,0.034252002,0.045020067,0.024957439
BRN,Brunei Darussalam,2015,0.034738077,0.045714081,0.025743537
BRN,Brunei Darussalam,2020,0.034558751,0.045176318,0.025474727
BRN,Brunei Darussalam,2021,0.034296318,0.044970465,0.025340273
BGR,Bulgaria,2000,0.163352201,0.230180736,0.106094758
BGR,Bulgaria,2005,0.166892256,0.236391082,0.112329618
BGR,Bulgaria,2010,0.172045694,0.250294286,0.113617347
BGR,Bulgaria,2015,0.153287488,0.210785642,0.100664324
BGR,Bulgaria,2020,0.132351665,0.179041559,0.087402902
