species,common,kingdom,class,lat,lon,date,year,basisOfRecord,datasetName
Halyomorpha halys,,Animalia,Insecta,45.016215,-93.232478,2026-01-02,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Zenaida macroura,,Animalia,Aves,45.024665,-93.247196,2026-02-21,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sylvilagus floridanus,,Animalia,Mammalia,45.020563,-93.245746,2026-03-16,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Crocus neapolitanus,,Plantae,Liliopsida,45.01607,-93.232421,2026-03-25,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Scilla siberica,,Plantae,Liliopsida,45.017023,-93.233224,2026-04-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Porcellio spinicornis,,Animalia,Malacostraca,45.016032,-93.231804,2026-04-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Pachysandra terminalis,,Plantae,Magnoliopsida,45.016927,-93.232116,2026-04-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Poecile atricapillus,,Animalia,Aves,45.013867,-93.239378,2026-04-14,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sanguinaria canadensis,,Plantae,Magnoliopsida,45.019817,-93.238272,2026-04-18,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Mertensia virginica,,Plantae,Magnoliopsida,45.023822,-93.243498,2026-04-23,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lilioceris lilii,,Animalia,Insecta,45.016962,-93.244816,2026-05-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lacinipolia renigera,,Animalia,Insecta,45.016831,-93.244673,2026-05-11,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Larix laricina,,Plantae,Pinopsida,45.015111,-93.23533,2026-05-12,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sylvilagus floridanus,,Animalia,Mammalia,45.021397,-93.243888,2026-05-16,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lucanus placidus,,Animalia,Insecta,45.019525,-93.242508,2026-05-17,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Agrochola bicolorago,,Animalia,Insecta,45.016911,-93.240892,2026-05-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Ulmus americana,,Plantae,Magnoliopsida,45.021392,-93.243783,2026-05-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Verbascum thapsus,,Plantae,Magnoliopsida,45.013921,-93.233843,2026-05-15,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lonicera sempervirens,,Plantae,Magnoliopsida,45.022356,-93.237767,2026-06-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lucanus placidus,,Animalia,Insecta,45.020272,-93.246825,2026-06-02,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tradescantia ohiensis,,Plantae,Liliopsida,45.017611,-93.240197,2026-06-07,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Erigeron canadensis,,Plantae,Magnoliopsida,45.021439,-93.243834,2026-06-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lysimachia punctata,,Plantae,Magnoliopsida,45.02115,-93.239798,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Anthrenus polonicus,,Animalia,Insecta,45.02132,-93.243858,2026-06-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Passer domesticus,,Animalia,Aves,45.013264,-93.233353,2026-06-07,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Mirabilis nyctaginea,,Plantae,Magnoliopsida,45.015489,-93.241587,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sciurus carolinensis,,Animalia,Mammalia,45.021436,-93.243758,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Parietaria pensylvanica,,Plantae,Magnoliopsida,45.013339,-93.23358,2026-06-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Glechoma hederacea,,Plantae,Magnoliopsida,45.021439,-93.243834,2026-06-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Ageratina altissima,,Plantae,Magnoliopsida,45.021439,-93.243834,2026-06-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Coronilla varia,,Plantae,Magnoliopsida,45.013297,-93.23358,2026-06-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Juniperus horizontalis,,Plantae,Pinopsida,45.015712,-93.228545,2026-06-07,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Attulus fasciger,,Animalia,Arachnida,45.021397,-93.243897,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Leonurus cardiaca,,Plantae,Magnoliopsida,45.019386,-93.239328,2026-06-15,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Asclepias syriaca,,Plantae,Magnoliopsida,45.02137,-93.244012,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Vitis riparia,,Plantae,Magnoliopsida,45.021422,-93.244063,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lagium atroviolaceum,,Animalia,Insecta,45.021397,-93.243697,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Campanula rapunculoides,,Plantae,Magnoliopsida,45.018281,-93.240792,2026-06-15,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Vanessa atalanta,,Animalia,Insecta,45.01942,-93.242937,2026-06-20,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Euphorbia cyparissias,,Plantae,Magnoliopsida,45.018306,-93.240792,2026-06-15,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Harmonia axyridis,,Animalia,Insecta,45.016931,-93.240862,2026-06-18,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Harmonia axyridis,,Animalia,Insecta,45.016931,-93.240783,2026-06-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Idia aemula,,Animalia,Insecta,45.021397,-93.243705,2026-06-14,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Daktulosphaira vitifoliae,,Animalia,Insecta,45.021378,-93.244117,2026-06-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lysimachia punctata,,Plantae,Magnoliopsida,45.018172,-93.238547,2026-06-18,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Agapostemon virescens,,Animalia,Insecta,45.016931,-93.240837,2026-06-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lucanus placidus,,Animalia,Insecta,45.019574,-93.242608,2026-06-29,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Salticus scenicus,,Animalia,Arachnida,45.013412,-93.235095,2026-06-29,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Laphria thoracica,,Animalia,Insecta,45.01675,-93.24478,2026-06-12,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Convolvulus arvensis,,Plantae,Magnoliopsida,45.018709,-93.238329,2026-06-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lotus corniculatus,,Plantae,Magnoliopsida,45.018996,-93.237239,2026-06-02,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Vanessa atalanta,,Animalia,Insecta,45.014887,-93.247098,2026-07-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Graphocephala coccinea,,Animalia,Insecta,45.016911,-93.244767,2026-07-02,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Epargyreus clarus,,Animalia,Insecta,45.016619,-93.240883,2026-07-04,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Popillia japonica,,Animalia,Insecta,45.0169,-93.244705,2026-07-03,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sciurus carolinensis,,Animalia,Mammalia,45.015442,-93.240853,2026-07-04,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Melissodes bimaculatus,,Animalia,Insecta,45.01341,-93.2456,2026-07-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Melilotus albus,,Plantae,Magnoliopsida,45.020481,-93.244745,2026-07-07,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Berteroa incana,,Plantae,Magnoliopsida,45.020486,-93.244728,2026-07-07,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Papilio polyxenes,,Animalia,Insecta,45.017028,-93.240813,2026-07-11,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Theridion frondeum,,Animalia,Arachnida,45.016654,-93.232795,2026-07-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Phidippus audax,,Animalia,Arachnida,45.018371,-93.241396,2026-07-14,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Arocatus melanocephalus,,Animalia,Insecta,45.021436,-93.243837,2026-07-13,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Verbena bracteata,,Plantae,Magnoliopsida,45.023275,-93.237625,2026-07-18,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Cucullia convexipennis,,Animalia,Insecta,45.023503,-93.244912,2026-07-14,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Erechtites hieraciifolius,,Plantae,Magnoliopsida,45.02147,-93.243675,2026-07-14,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Metcalfa pruinosa,,Animalia,Insecta,45.02398,-93.244291,2026-07-14,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Amblyomma maculatum,,Animalia,Arachnida,45.021422,-93.243837,2026-07-24,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Oncopeltus fasciatus,,Animalia,Insecta,45.021483,-93.243963,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Vespula germanica,,Animalia,Insecta,45.021472,-93.243912,2026-07-22,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Ageratina altissima,,Plantae,Magnoliopsida,45.023251,-93.237538,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Asclepias syriaca,,Plantae,Magnoliopsida,45.021472,-93.243958,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Epargyreus clarus,,Animalia,Insecta,45.01675,-93.240845,2026-07-21,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Verbascum thapsus,,Plantae,Magnoliopsida,45.021442,-93.243958,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Danaus plexippus,,Animalia,Insecta,45.021478,-93.243942,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Acholla multispinosa,,Animalia,Insecta,45.017003,-93.240805,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Melanoplus differentialis,,Animalia,Insecta,45.016234,-93.23232,2026-07-21,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Fraxinus pennsylvanica,,Plantae,Magnoliopsida,45.02147,-93.24398,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tetraopes tetrophthalmus,,Animalia,Insecta,45.021458,-93.243963,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Agapostemon virescens,,Animalia,Insecta,45.013389,-93.23352,2026-07-20,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Erigeron canadensis,,Plantae,Magnoliopsida,45.021467,-93.244025,2026-07-19,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Ambrosia artemisiifolia,,Plantae,Magnoliopsida,45.023211,-93.237233,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Erigeron canadensis,,Plantae,Magnoliopsida,45.023238,-93.237505,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Oncopeltus fasciatus,,Animalia,Insecta,45.017508,-93.238425,2026-07-15,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Solanum dulcamara,,Plantae,Magnoliopsida,45.02145,-93.244033,2026-07-21,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus griseocollis,,Animalia,Insecta,45.021447,-93.2436,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Verbena bracteata,,Plantae,Magnoliopsida,45.023243,-93.237607,2026-07-29,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Morus alba,,Plantae,Magnoliopsida,45.021062,-93.237247,2026-07-28,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Silphium perfoliatum,,Plantae,Magnoliopsida,45.013864,-93.234732,2026-07-29,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sympetrum obtrusum,,Animalia,Insecta,45.016997,-93.240713,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
