species,common,kingdom,class,records,years,lat,lon
"Agelenopsis Giebel, 1869",,Animalia,Arachnida,7,2020-2025,45.017641,-93.243639
Neoscona crucifera,,Animalia,Arachnida,3,2022-2025,45.016313,-93.24097
Attulus fasciger,,Animalia,Arachnida,2,2022-2026,45.021404,-93.243734
Salticus scenicus,,Animalia,Arachnida,2,2024-2026,45.015248,-93.23995
Phidippus audax,,Animalia,Arachnida,2,2025-2026,45.020243,-93.237979
Dermacentor variabilis,,Animalia,Arachnida,2,2021-2025,45.021572,-93.245282
Phalangium opilio,,Animalia,Arachnida,2,2022-2025,45.019219,-93.242165
Argiope aurantia,,Animalia,Arachnida,2,2019-2020,45.016411,-93.234008
Theridion frondeum,,Animalia,Arachnida,1,2026-2026,45.016654,-93.232795
Amblyomma maculatum,,Animalia,Arachnida,1,2026-2026,45.021422,-93.243837
Eris militaris,,Animalia,Arachnida,1,2024-2024,45.021563,-93.233151
Misumessus oblongus,,Animalia,Arachnida,1,2022-2022,45.021458,-93.243545
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,1403,1999-2026,45.018876,-93.241508
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,1386,1999-2024,45.018919,-93.24151
Passer domesticus,House Sparrow,Animalia,Aves,1196,1999-2026,45.018765,-93.241313
Corvus brachyrhynchos,American Crow,Animalia,Aves,1193,1999-2024,45.019055,-93.24171
Haemorhous mexicanus,House Finch,Animalia,Aves,930,1999-2024,45.018861,-93.241537
Spinus tristis,American Goldfinch,Animalia,Aves,874,2001-2024,45.018864,-93.241363
Dryobates pubescens,Downy Woodpecker,Animalia,Aves,860,1999-2024,45.018976,-93.241784
Turdus migratorius,American Robin,Animalia,Aves,789,2003-2024,45.019087,-93.241951
Cyanocitta cristata,Blue Jay,Animalia,Aves,779,2003-2024,45.019014,-93.241577
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,714,1999-2024,45.018894,-93.241508
Troglodytes aedon,Northern House Wren,Animalia,Aves,535,2003-2024,45.019107,-93.241592
Spizella passerina,Chipping Sparrow,Animalia,Aves,522,2003-2024,45.018842,-93.241717
Chaetura pelagica,Chimney Swift,Animalia,Aves,328,2003-2024,45.019031,-93.242142
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,163,2004-2024,45.018667,-93.24135
Anas platyrhynchos,Mallard,Animalia,Aves,155,2001-2024,45.019173,-93.241979
Junco hyemalis,Dark-eyed Junco,Animalia,Aves,151,1999-2024,45.017553,-93.240364
Zenaida macroura,Mourning Dove,Animalia,Aves,150,2003-2026,45.01917,-93.242059
Molothrus ater,Brown-headed Cowbird,Animalia,Aves,123,2004-2024,45.018687,-93.241595
Dumetella carolinensis,Gray Catbird,Animalia,Aves,114,2003-2024,45.018902,-93.24171
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,113,1999-2024,45.018043,-93.241566
Branta canadensis,Canada Goose,Animalia,Aves,107,2001-2025,45.018875,-93.241561
Zonotrichia albicollis,White-throated Sparrow,Animalia,Aves,86,2001-2024,45.017711,-93.240386
Quiscalus quiscula,Common Grackle,Animalia,Aves,85,1999-2024,45.019251,-93.242204
Sturnus vulgaris,European Starling,Animalia,Aves,81,1999-2024,45.019052,-93.24209
"Astur Lacepède, 1799",Cooper's Hawk,Animalia,Aves,72,2005-2024,45.018125,-93.240776
Vireo olivaceus,Red-eyed Vireo,Animalia,Aves,52,2003-2024,45.018845,-93.241825
Agelaius phoeniceus,Red-winged Blackbird,Animalia,Aves,33,2004-2024,45.018731,-93.241153
Sitta canadensis,Red-breasted Nuthatch,Animalia,Aves,29,2003-2024,45.018449,-93.241817
Meleagris gallopavo,Wild Turkey,Animalia,Aves,27,2012-2025,45.019215,-93.239998
Setophaga coronata,Yellow-rumped Warbler,Animalia,Aves,27,2003-2024,45.016929,-93.236908
Chordeiles minor,Common Nighthawk,Animalia,Aves,27,2003-2024,45.018859,-93.241281
Buteo jamaicensis,Red-tailed Hawk,Animalia,Aves,26,2001-2024,45.019351,-93.24144
Certhia americana,Brown Creeper,Animalia,Aves,25,2003-2024,45.016615,-93.239715
Colaptes auratus,Northern Flicker,Animalia,Aves,25,2004-2024,45.017744,-93.239864
Archilochus colubris,Ruby-throated Hummingbird,Animalia,Aves,23,2003-2024,45.017654,-93.238205
Leiothlypis ruficapilla,Nashville Warbler,Animalia,Aves,22,2011-2024,45.0169,-93.237896
Larus delawarensis,Ring-billed Gull,Animalia,Aves,22,2004-2024,45.019074,-93.240757
Buteo platypterus,Broad-winged Hawk,Animalia,Aves,21,2010-2024,45.017591,-93.238414
Hirundo rustica,Barn Swallow,Animalia,Aves,21,2007-2024,45.019206,-93.241805
Falco columbarius,Merlin,Animalia,Aves,19,2001-2024,45.016679,-93.237948
Regulus calendula,Ruby-crowned Kinglet,Animalia,Aves,19,2011-2024,45.016618,-93.236571
Dryocopus pileatus,Pileated Woodpecker,Animalia,Aves,18,2005-2024,45.01903,-93.242034
Ardea alba,Great Egret,Animalia,Aves,17,2003-2024,45.018473,-93.241416
Charadrius vociferus,Killdeer,Animalia,Aves,16,2005-2024,45.01896,-93.242368
Ardea herodias,Great Blue Heron,Animalia,Aves,15,2004-2024,45.018383,-93.241621
Melospiza melodia,Song Sparrow,Animalia,Aves,14,2006-2024,45.017726,-93.242532
Leiothlypis peregrina,Tennessee Warbler,Animalia,Aves,13,2018-2024,45.017063,-93.237078
Myiarchus crinitus,Great Crested Flycatcher,Animalia,Aves,13,2022-2024,45.019411,-93.241582
Icterus galbula,Baltimore Oriole,Animalia,Aves,12,2003-2024,45.018271,-93.239359
Setophaga ruticilla,American Redstart,Animalia,Aves,12,2011-2024,45.016088,-93.235665
Bombycilla cedrorum,Cedar Waxwing,Animalia,Aves,12,2003-2024,45.018193,-93.241785
Bubo virginianus,Great Horned Owl,Animalia,Aves,11,2010-2024,45.018864,-93.24123
Catharus guttatus,Hermit Thrush,Animalia,Aves,11,2003-2024,45.017716,-93.239714
Sphyrapicus varius,Yellow-bellied Sapsucker,Animalia,Aves,11,2007-2023,45.016166,-93.23652
Haliaeetus leucocephalus,Bald Eagle,Animalia,Aves,10,2009-2024,45.018552,-93.239093
Catharus ustulatus,Swainson's Thrush,Animalia,Aves,10,2011-2024,45.016362,-93.237075
Columba livia,Rock Pigeon,Animalia,Aves,10,2001-2019,45.019145,-93.241877
Sayornis phoebe,Eastern Phoebe,Animalia,Aves,9,2015-2024,45.015419,-93.238589
Spinus pinus,Pine Siskin,Animalia,Aves,9,1999-2019,45.017523,-93.241675
Regulus satrapa,Golden-crowned Kinglet,Animalia,Aves,8,2015-2024,45.015474,-93.237613
Phalacrocorax auritus,Double-crested Cormorant,Animalia,Aves,7,2022-2024,45.017228,-93.239466
Accipiter striatus,Sharp-shinned Hawk,Animalia,Aves,7,2003-2020,45.018231,-93.240667
Petrochelidon pyrrhonota,Cliff Swallow,Animalia,Aves,7,2008-2020,45.01931,-93.24225
Setophaga pensylvanica,Chestnut-sided Warbler,Animalia,Aves,6,2011-2023,45.016451,-93.234096
Leiothlypis celata,Orange-crowned Warbler,Animalia,Aves,5,2016-2024,45.016379,-93.238063
Troglodytes hiemalis,Winter Wren,Animalia,Aves,5,2018-2024,45.01712,-93.232895
Contopus virens,Eastern Wood-Pewee,Animalia,Aves,5,2005-2020,45.018238,-93.241905
Falco sparverius,American Kestrel,Animalia,Aves,4,1995-2024,45.017519,-93.240267
Cardellina pusilla,Wilson's Warbler,Animalia,Aves,4,2015-2024,45.015168,-93.242763
Geothlypis trichas,Common Yellowthroat,Animalia,Aves,4,2018-2024,45.016359,-93.240684
Circus cyaneus,Northern Harrier,Animalia,Aves,4,2007-2024,45.015107,-93.243668
Spizelloides arborea,American Tree Sparrow,Animalia,Aves,4,2001-2024,45.018142,-93.241221
Setophaga petechia,Yellow Warbler,Animalia,Aves,4,2004-2022,45.019512,-93.240751
Aix sponsa,Wood Duck,Animalia,Aves,4,2007-2020,45.017841,-93.238236
Spizella pallida,Clay-colored Sparrow,Animalia,Aves,3,2011-2024,45.014925,-93.239186
Pheucticus ludovicianus,Rose-breasted Grosbeak,Animalia,Aves,3,2007-2024,45.019133,-93.240302
Pandion haliaetus,Osprey,Animalia,Aves,3,2019-2022,45.01858,-93.239132
Tachycineta bicolor,Tree Swallow,Animalia,Aves,3,2020-2022,45.016622,-93.23378
Setophaga tigrina,Cape May Warbler,Animalia,Aves,3,2011-2022,45.017485,-93.236038
Riparia riparia,Bank Swallow,Animalia,Aves,3,2019-2019,45.01931,-93.24225
Haemorhous purpureus,Purple Finch,Animalia,Aves,3,2006-2018,45.01858,-93.239132
Setophaga castanea,Bay-breasted Warbler,Animalia,Aves,3,2018-2018,45.01712,-93.232895
Mniotilta varia,Black-and-white Warbler,Animalia,Aves,3,2005-2018,45.017523,-93.241675
Strix varia,Barred Owl,Animalia,Aves,2,2020-2024,45.016464,-93.232301
Pipilo erythrophthalmus,Eastern Towhee,Animalia,Aves,2,2024-2024,45.015413,-93.238518
Tyrannus tyrannus,Eastern Kingbird,Animalia,Aves,2,2024-2024,45.019638,-93.24008
Cathartes aura,Turkey Vulture,Animalia,Aves,2,2020-2024,45.014665,-93.239845
Pelecanus erythrorhynchos,American White Pelican,Animalia,Aves,2,2024-2024,45.018558,-93.236378
Setophaga striata,Blackpoll Warbler,Animalia,Aves,2,2011-2023,45.018379,-93.236488
Setophaga caerulescens,Black-throated Blue Warbler,Animalia,Aves,2,2023-2023,45.01712,-93.232895
Setophaga magnolia,Magnolia Warbler,Animalia,Aves,2,2022-2023,45.01712,-93.232895
Piranga olivacea,Scarlet Tanager,Animalia,Aves,2,2011-2023,45.01712,-93.232895
Vireo solitarius,Blue-headed Vireo,Animalia,Aves,2,2022-2023,45.01712,-93.232895
Acanthis flammea,Redpoll,Animalia,Aves,2,2022-2022,45.015535,-93.236709
Setophaga fusca,Blackburnian Warbler,Animalia,Aves,2,2011-2022,45.01712,-93.232895
Passerina cyanea,Indigo Bunting,Animalia,Aves,2,2015-2022,45.016155,-93.237175
Sialia sialis,Eastern Bluebird,Animalia,Aves,2,2015-2020,45.014461,-93.238085
Anser caerulescens,Snow Goose,Animalia,Aves,2,2018-2020,45.01931,-93.24225
Lophodytes cucullatus,Hooded Merganser,Animalia,Aves,2,2011-2019,45.01931,-93.24225
Catharus fuscescens,Veery,Animalia,Aves,2,2004-2019,45.01931,-93.24225
Setophaga palmarum,Palm Warbler,Animalia,Aves,2,2018-2018,45.018215,-93.237572
Passerella iliaca,Fox Sparrow,Animalia,Aves,2,2015-2018,45.015535,-93.236709
Gavia immer,Common Loon,Animalia,Aves,2,2009-2017,45.01931,-93.24225
Polioptila caerulea,Blue-gray Gnatcatcher,Animalia,Aves,1,2024-2024,45.013706,-93.24414
Seiurus aurocapilla,Ovenbird,Animalia,Aves,1,2024-2024,45.013706,-93.24414
Zonotrichia leucophrys,White-crowned Sparrow,Animalia,Aves,1,2024-2024,45.019638,-93.24008
Hydroprogne caspia,Caspian Tern,Animalia,Aves,1,2024-2024,45.013706,-93.24414
Vireo gilvus,Warbling Vireo,Animalia,Aves,1,2024-2024,45.013706,-93.24414
Cygnus buccinator,Trumpeter Swan,Animalia,Aves,1,2024-2024,45.013653,-93.24431
Butorides virescens,,Animalia,Aves,1,2024-2024,45.018452,-93.236465
Setophaga pinus,Pine Warbler,Animalia,Aves,1,2023-2023,45.01395,-93.240524
Anthus rubescens,American Pipit,Animalia,Aves,1,2023-2023,45.013706,-93.24414
Empidonax flaviventris,Yellow-bellied Flycatcher,Animalia,Aves,1,2023-2023,45.01712,-93.232895
Thryothorus ludovicianus,Carolina Wren,Animalia,Aves,1,2021-2021,45.01712,-93.232895
Grus canadensis,Sandhill Crane,Animalia,Aves,1,2021-2021,45.02062,-93.23731
Spatula discors,Blue-winged Teal,Animalia,Aves,1,2020-2020,45.015625,-93.23555
Sturnella magna,Eastern Meadowlark,Animalia,Aves,1,2020-2020,45.015625,-93.23555
Megaceryle alcyon,Belted Kingfisher,Animalia,Aves,1,2020-2020,45.015625,-93.23555
Toxostoma rufum,Brown Thrasher,Animalia,Aves,1,2020-2020,45.01931,-93.24225
Empidonax minimus,Least Flycatcher,Animalia,Aves,1,2020-2020,45.017284,-93.24226
Setophaga virens,Black-throated Green Warbler,Animalia,Aves,1,2018-2018,45.01712,-93.232895
Cygnus columbianus,Tundra Swan,Animalia,Aves,1,2017-2017,45.01712,-93.232895
