species,common,kingdom,class,lat,lon,date,year,basisOfRecord,datasetName
Leonurus cardiaca,,Plantae,Magnoliopsida,45.019386,-93.239328,2026-06-15,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Ageratina altissima,,Plantae,Magnoliopsida,45.019556,-93.241448,2025-09-11,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Arctium minus,,Plantae,Magnoliopsida,45.019845,-93.240629,2025-09-25,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Junco hyemalis,Dark-eyed Junco,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Dryobates pubescens,Downy Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-01-09,2024,HUMAN_OBSERVATION,EBIRD
Haliaeetus leucocephalus,Bald Eagle,Animalia,Aves,45.019997,-93.23986,2024-02-18,2024,HUMAN_OBSERVATION,EBIRD
Falco sparverius,American Kestrel,Animalia,Aves,45.019997,-93.23986,2024-03-01,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-03-01,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019997,-93.23986,2024-03-01,2024,HUMAN_OBSERVATION,EBIRD
Setophaga coronata,Yellow-rumped Warbler,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Catharus ustulatus,Swainson's Thrush,Animalia,Aves,45.019997,-93.23986,2024-05-07,2024,HUMAN_OBSERVATION,EBIRD
Turdus migratorius,American Robin,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Leiothlypis ruficapilla,Nashville Warbler,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
