country,year,species,cases
AGO,2020,Pf,7343696.0
LBR,2019,Pf,915845.0
MYS,2016,Pf,67.0
MDG,2024,Pf,3886959.0
MLI,2023,Pf,3360557.0
GHA,2019,Pf,6075297.0
GMB,2024,Pf,111293.0
BLZ,2019,Pf,0.0
NGA,2021,Pf,21325186.0
PAK,2023,Pf,881339.0
GTM,2023,Pf,0.0
TJK,2024,Pf,0.0
HND,2016,Pf,1310.0
IRN,2022,Pf,197.0
NGA,2018,Pf,14548024.0
HTI,2016,Pf,21430.0
DOM,2024,Pf,1203.0
DJI,2022,Pf,30346.0
KHM,2021,Pf,342.0
SWZ,2022,Pf,214.0
GAB,2022,Pf,45783.0
BLZ,2018,Pf,1.0
IND,2020,Pf,117567.0
GAB,2023,Pf,55986.0
CIV,2016,Pf,3754504.0
TGO,2021,Pf,1844659.0
NPL,2022,Pf,3.0
SLE,2015,Pf,1483376.0
PAK,2021,Pf,94543.0
TGO,2023,Pf,2366541.0
MYT,2016,Pf,12.0
AZE,2019,Pf,0.0
BTN,2018,Pf,1.0
TGO,2022,Pf,2222943.0
GUF,2018,Pf,49.0
MLI,2019,Pf,3165483.0
VUT,2016,Pf,186.0
PAK,2024,Pf,539553.0
NPL,2020,Pf,5.0
PRY,2015,Pf,0.0
IND,2015,Pf,774627.0
PNG,2020,Pf,189397.0
ZMB,2015,Pf,4184661.0
GUF,2024,Pf,0.0
BLZ,2023,Pf,0.0
BEN,2023,Pf,1882757.0
KEN,2015,Pf,1499027.0
STP,2016,Pf,2238.0
TGO,2015,Pf,1610568.0
ARG,2016,Pf,0.0
TJK,2015,Pf,0.0
BGD,2022,Pf,11980.0
NER,2019,Pf,3748155.0
LKA,2024,Pf,0.0
CIV,2015,Pf,3375904.0
GUF,2020,Pf,3.0
DJI,2015,Pf,9473.0
GUY,2016,Pf,3576.0
ZAF,2023,Pf,5291.0
CHN,2020,Pf,0.0
MYS,2024,Pf,0.0
ETH,2019,Pf,738155.0
ZWE,2017,Pf,471030.0
GMB,2018,Pf,87448.0
CMR,2021,Pf,3335174.0
SWZ,2019,Pf,252.0
RWA,2022,Pf,857228.0
GIN,2018,Pf,1214996.0
GIN,2020,Pf,2008976.0
MDG,2017,Pf,187415.0
COG,2015,Pf,51529.0
GMB,2016,Pf,153685.0
HTI,2019,Pf,10687.0
LBR,2017,Pf,1093115.0
TLS,2015,Pf,33.0
SLE,2023,Pf,2090143.0
TCD,2018,Pf,1364706.0
KAZ,2017,Pf,0.0
MLI,2020,Pf,2666266.0
BEN,2017,Pf,1933912.0
VUT,2024,Pf,0.0
PAN,2023,Pf,10.0
CPV,2016,Pf,49.0
YEM,2015,Pf,75898.0
KEN,2023,Pf,5619026.0
NPL,2019,Pf,9.0
BTN,2021,Pf,1.0
ZMB,2022,Pf,8126829.0
VNM,2015,Pf,4327.0
COG,2016,Pf,171847.0
SOM,2023,Pf,13437.0
TZA,2023,Pf,3754824.0
BDI,2018,Pf,4966511.0
PAN,2020,Pf,9.0
GNQ,2017,Pf,15725.0
IRN,2021,Pf,0.0
CMR,2022,Pf,3327381.0
BFA,2018,Pf,10278970.0
NIC,2022,Pf,4935.0
KHM,2024,Pf,2.0
TKM,2018,Pf,0.0
ECU,2018,Pf,149.0
MOZ,2023,Pf,12870205.0
IRN,2023,Pf,805.0
COL,2016,Pf,47232.0
PRK,2019,Pf,0.0
KGZ,2016,Pf,0.0
BEN,2021,Pf,2634063.0
ZMB,2016,Pf,4851319.0
MOZ,2024,Pf,11614258.0
AZE,2016,Pf,0.0
RWA,2021,Pf,1163670.0
PRY,2022,Pf,0.0
BRA,2021,Pf,21612.0
ERI,2017,Pf,21849.0
AGO,2024,Pf,10638498.0
SLV,2018,Pf,0.0
TJK,2019,Pf,0.0
SEN,2018,Pf,530652.0
TGO,2019,Pf,2402967.0
PER,2018,Pf,9438.0
LBR,2016,Pf,1191137.0
NER,2020,Pf,4154337.0
GNQ,2024,Pf,57499.0
RWA,2017,Pf,5940533.0
LBR,2022,Pf,696684.0
GTM,2020,Pf,0.0
SUR,2023,Pf,0.0
IRN,2024,Pf,537.0
MWI,2020,Pf,7078271.0
IDN,2024,Pf,275503.0
GUF,2015,Pf,61.0
BOL,2023,Pf,917.0
TJK,2016,Pf,0.0
TCD,2021,Pf,1418539.0
DJI,2017,Pf,9290.0
ERI,2015,Pf,14510.0
NAM,2022,Pf,10301.0
TLS,2023,Pf,0.0
CHN,2015,Pf,1.0
BOL,2015,Pf,77.0
COG,2023,Pf,517937.0
ARG,2017,Pf,0.0
KHM,2019,Pf,4833.0
PRY,2016,Pf,0.0
BFA,2017,Pf,10557260.0
SLE,2020,Pf,725006.0
BWA,2018,Pf,534.0
MOZ,2017,Pf,8921081.0
STP,2023,Pf,2258.0
LKA,2023,Pf,0.0
SOM,2021,Pf,10919.0
SLB,2019,Pf,15595.0
ECU,2020,Pf,214.0
BRA,2020,Pf,21437.0
BTN,2023,Pf,0.0
TLS,2024,Pf,0.0
TUR,2016,Pf,0.0
SLE,2017,Pf,1651236.0
SDN,2019,Pf,1363507.0
BDI,2023,Pf,5580188.0
SLB,2023,Pf,33392.0
KGZ,2024,Pf,0.0
VUT,2022,Pf,0.0
VEN,2015,Pf,24018.0
COG,2024,Pf,611821.0
BRA,2017,Pf,18614.0
IND,2018,Pf,204733.0
ETH,2020,Pf,1340869.0
LAO,2017,Pf,4169.0
TUR,2018,Pf,0.0
VEN,2019,Pf,64307.0
UGA,2020,Pf,16329136.0
CHN,2019,Pf,0.0
TGO,2020,Pf,1737469.0
VNM,2016,Pf,2323.0
IDN,2017,Pf,143926.0
TJK,2020,Pf,0.0
NPL,2016,Pf,61.0
PNG,2023,Pf,265571.0
TKM,2020,Pf,0.0
SUR,2024,Pf,0.0
ZWE,2022,Pf,141076.0
BOL,2020,Pf,66.0
IRN,2019,Pf,0.0
AGO,2017,Pf,3874892.0
KOR,2017,Pf,0.0
RWA,2019,Pf,3612822.0
SLV,2017,Pf,0.0
THA,2022,Pf,167.0
DZA,2021,Pf,0.0
STP,2015,Pf,2055.0
BGD,2020,Pf,4744.0
AGO,2022,Pf,7858860.0
DOM,2022,Pf,320.0
SEN,2023,Pf,310385.0
TJK,2022,Pf,0.0
GNB,2022,Pf,185156.0
ARM,2023,Pf,0.0
MOZ,2019,Pf,11734926.0
KHM,2020,Pf,1073.0
LAO,2024,Pf,39.0
KEN,2016,Pf,2783846.0
LKA,2016,Pf,0.0
SLB,2016,Pf,16607.0
TLS,2019,Pf,0.0
GEO,2019,Pf,0.0
ZMB,2019,Pf,5147350.0
SDN,2024,Pf,402193.0
MOZ,2022,Pf,12387459.0
ECU,2019,Pf,211.0
BOL,2022,Pf,466.0
MWI,2018,Pf,5865476.0
PER,2022,Pf,4171.0
TGO,2024,Pf,2182187.0
ZAF,2022,Pf,2043.0
KEN,2021,Pf,4270769.0
SDN,2021,Pf,1182363.0
UZB,2015,Pf,0.0
BTN,2020,Pf,0.0
ECU,2015,Pf,209.0
ETH,2018,Pf,859675.0
COL,2021,Pf,36169.0
KOR,2016,Pf,0.0
CIV,2018,Pf,4766477.0
SLE,2021,Pf,1953902.0
BTN,2016,Pf,1.0
LKA,2017,Pf,0.0
YEM,2020,Pf,162318.0
MWI,2016,Pf,4827373.0
GNB,2024,Pf,98392.0
GHA,2022,Pf,5216479.0
YEM,2024,Pf,201966.0
MDG,2015,Pf,938490.0
TKM,2017,Pf,0.0
ARG,2018,Pf,0.0
HTI,2018,Pf,8828.0
BLZ,2021,Pf,0.0
TZA,2015,Pf,4900103.0
