objectID,hex,hue,objectBeginDate,culture,department,medium,objectName,imageUrl
4553,#e2e2e2,0.0,1650,British,The American Wing,"White oak, cherry",Joint stool,https://images.metmuseum.org/CRDImages/ad/web-large/194407.jpg
174,#4e2711,21.6,1660,American,The American Wing,Ash,Spindle-back armchair,https://images.metmuseum.org/CRDImages/ad/web-large/DT235352.jpg
202,#221813,20.0,1660,American,The American Wing,"Maple, soft maple, ash",Armchair,https://images.metmuseum.org/CRDImages/ad/web-large/85B_ACF104R7.jpg
4469,#081e3e,215.6,1660,Mexican,The American Wing,Tin-glazed earthenware,Apothecary jar,https://images.metmuseum.org/CRDImages/ad/web-large/DP250011.jpg
4202,#a4a4a4,0.0,1670,,The American Wing,Brass,Furniture hardware,https://images.metmuseum.org/CRDImages/ad/web-large/35378.jpg
972,#a1a1a1,0.0,1700,,The American Wing,"Copper, iron, wood",Brazier,https://images.metmuseum.org/CRDImages/ad/web-large/147884.jpg
4142,#ebebeb,0.0,1700,,The American Wing,Iron,Gridiron,https://images.metmuseum.org/CRDImages/ad/web-large/13389.jpg
4459,#e0e0e0,0.0,1700,,The American Wing,"Iron, steel",Jamb hook,https://images.metmuseum.org/CRDImages/ad/web-large/139893.jpg
147,#2f130f,7.5,1720,American,The American Wing,"Hard maple, soft maple, ash",Banister-back armchair,https://images.metmuseum.org/CRDImages/ad/web-large/DT241037.jpg
1479,#211a17,18.0,1730,American,The American Wing,Silver,Caster,https://images.metmuseum.org/CRDImages/ad/web-large/DP110843.jpg
5345,#797674,24.0,1735,American,The American Wing,Silver,Cann,https://images.metmuseum.org/CRDImages/ad/web-large/DP105909.jpg
2647,#e5e5e5,0.0,1745,British,The American Wing,Stoneware,Cream pot,https://images.metmuseum.org/CRDImages/ad/web-large/156517.jpg
1044,#391b1d,356.0,1750,American,The American Wing,"Mahogany, white pine, white oak",Bureau Table,https://images.metmuseum.org/CRDImages/ad/web-large/DP112865.JPG
6392,#3d2c1c,29.1,1750,British,The American Wing,Earthenware,Dish,https://images.metmuseum.org/CRDImages/ad/web-large/DP260592.jpg
6396,#432b15,28.7,1750,British,The American Wing,Earthenware,Plate,https://images.metmuseum.org/CRDImages/ad/web-large/DP260591.jpg
6863,#f1f5f8,205.7,1755,European,The American Wing,"Gold, diamonds",Ring,https://images.metmuseum.org/CRDImages/ad/web-large/DP205040.jpg
6818,#446c54,144.0,1757,British (American market),The American Wing,Stoneware,Punch pot,https://images.metmuseum.org/CRDImages/ad/web-large/DP-18258-001.jpg
